ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,foldChange,log10padj
WBGene00003099,2.843047715,0.965957367,1.660899907,0.333072673,0.563855364,1,1.953359334,0
WBGene00003100,12.35633068,-0.300055049,0.746157816,0.161578203,0.687707641,0.807188769,0.812221404,0.093024889
WBGene00003102,38.87567237,1.071430293,0.640084857,2.751828878,0.097143255,0.235934223,2.101515785,0.62720906
WBGene00003104,18.51077527,0.728771113,0.911354973,0.632987346,0.426261648,0.602596804,1.657226865,0.219973176
WBGene00003106,12.25107826,-0.069762266,0.888040574,0.006188325,0.937298363,0.965368404,0.952794991,0.015306919
WBGene00003107,197.7663772,-0.327740816,0.22619962,2.095055889,0.147776308,0.310434702,0.796783228,0.508029738
WBGene00003111,497.2127874,0.676196579,0.252079998,7.139631384,0.007539866,0.038610143,1.597921548,1.413298591
WBGene00003112,66.16367315,0.926420705,0.54621783,2.8370588,0.092112679,0.227629655,1.900554907,0.642771159
WBGene00003119,1915.079262,0.377186524,0.134866439,7.801319017,0.005220811,0.029158883,1.298806513,1.535229121
WBGene00003123,2427.751133,0.092217923,0.083454956,1.220759499,0.269211651,0.45324515,1.066007747,0.343666835
WBGene00003124,285.9734113,0.674166582,0.311741273,4.639201481,0.03124954,0.110106505,1.595674715,0.958187021
WBGene00003129,839.635759,0.035584494,0.122541872,0.084362341,0.771470497,0.865841481,1.024971996,0.062561612
WBGene00003130,3491.242573,-0.18908107,0.120588055,2.456814399,0.117015886,0.265670828,0.877164257,0.57565613
WBGene00003132,4477.838417,0.051877164,0.066199843,0.614103234,0.43324704,0.609013427,1.036612837,0.215373133
WBGene00003133,3956.227649,0.036056053,0.092092008,0.153289851,0.695411077,0.812415286,1.025307073,0.090221914
WBGene00003134,1268.640578,-0.106679169,0.083826848,1.619412486,0.203173728,0.377629057,0.928723362,0.422934596
WBGene00003136,1454.83962,-0.031375037,0.07689054,0.166521396,0.683222041,0.804193003,0.978487254,0.09463971
WBGene00003142,708.9067065,0.269834771,0.132448656,4.146449922,0.04172191,0.13401391,1.205669737,0.872850121
WBGene00003143,86.08409512,0.307984885,0.429519153,0.51314991,0.473778454,0.644545343,1.237977321,0.190746525
WBGene00003144,4717.097466,0.250325722,0.074006463,11.42881091,0.00072314,0.005915408,1.189475636,2.228015289
WBGene00003148,3628.898691,0.110540187,0.174199044,0.402580098,0.525759786,0.688655353,1.079632407,0.161998072
WBGene00003149,606.2577853,0.457159448,0.184542246,6.117291247,0.013386578,0.05916606,1.37283615,1.227927351
WBGene00003150,9047.819559,0.026466963,0.101449373,0.068062615,0.794178781,0.880044954,1.018514813,0.055495143
WBGene00003151,1772.341782,-0.044109483,0.127793726,0.119153665,0.729954227,0.836776201,0.969888305,0.07739068
WBGene00003153,4882.082693,-0.3987209,0.09116884,19.0687021,1.26E-05,0.000189801,0.758530502,3.721701408
WBGene00003154,7131.876521,-0.024812738,0.105073408,0.055767414,0.813315305,0.893316304,0.982948177,0.048994739
WBGene00003155,7080.68573,-0.019631136,0.117445814,0.027941798,0.867245729,0.924544747,0.986484894,0.034072064
WBGene00003156,5825.206092,0.178261231,0.099409948,3.213759554,0.073021519,0.195656889,1.13151933,0.708504855
WBGene00003157,6364.398052,0.049340133,0.100232906,0.242313779,0.622539953,0.760420128,1.034791518,0.118946396
WBGene00003158,6667.351161,-0.066428517,0.096946359,0.469493469,0.493220289,0.660838447,0.954999235,0.179904698
WBGene00003159,8825.849598,-0.11186511,0.109234164,1.048534106,0.305844937,0.491193293,0.925390947,0.308747572
WBGene00003160,2867.715418,-0.242664153,0.096926191,6.261768943,0.012337096,0.055995784,0.845183113,1.251844669
WBGene00003161,2061.435214,0.022434819,0.079226334,0.080288134,0.77690732,0.868927542,1.015672172,0.061016437
WBGene00003162,9649.882898,-0.485922088,0.112642975,18.52356995,1.68E-05,0.000242172,0.71404055,3.615876377
WBGene00003163,705.4688844,-1.323016294,0.257035087,25.68474481,4.02E-07,8.93E-06,0.399698401,5.048979618
WBGene00003164,1932.688766,-0.116957871,0.097793069,1.430179794,0.231735098,0.411964842,0.922130045,0.385139846
